ID,Event Name,Category,Sub-Category,Hook Line,Location,Address,Longitude and Latitude,Town,Distance (mi),Schedule,Time,Recurrence,Season,Est. Cost,Effort,Target Audience,User Tips,Verification Method,Verification Difficulty,XP Value,Badge Eligibility,Crew Formation,Is Anchor,Is Hidden Gem,Priority (1-5),Source,Audit_Confidence
131,Seed Planting Day,Seasonal,Gardening,Puts future into your hands.,Potsdam Community Garden,"Potsdam, NY 13676",,Potsdam Area,0,April–May,2-3 hours,Seasonal,Spring,$,Low,"Gardeners, growers, spring ritual keepers",Start indoors 6 weeks before last frost. Label everything. The anticipation is the joy.,Garden photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,MEDIUM
132,Raquette River Float,Summer Activities,River Float,Slow joy replaces urgency.,Raquette River access,"Ives Park Boat Launch, Main St, Potsdam, NY 13676",,Potsdam Area,0,Hot afternoons,2-4 hours,Seasonal,Year-round,$,Low,"Lazy river lovers, relaxation seekers","Lazy pace, cooler in the tube. Someone drives to the takeout, someone floats. Share the driving.",River photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
133,Backyard Film Night,Summer Activities,Outdoor Movie,Shared culture without algorithms.,Potsdam backyard,"Village of Potsdam, NY 13676",,Potsdam Area,0,Warm nights,8:30pm - 11:00pm,Seasonal,Year-round,$,Low,"Friend groups, movie lovers, summer hosts","Projector, white sheet, extension cord. The mosquito coils help. Neighbors are usually welcome.",Group photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
134,Local Farm Stand Crawl,Summer Activities,Farm Crawl,Connects food to people.,St. Lawrence County,"Various farm stands, St. Lawrence County, NY, Potsdam, NY 13676",,Potsdam Area,0,Saturday mornings,8:00am - 12:00pm,Seasonal,Year-round,$,Low,"Foodies, local food supporters",Map them out beforehand. Cash is standard. The produce tastes different when you know who grew it.,Receipts or photos,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,FLAG
135,Peak Foliage Drive + Stops,Seasonal,Foliage Tour,Turns scenery into shared ritual.,Adirondack byways,"Adirondack cabin rentals, Lake Clear, NY 12945",,Potsdam Area,0,Late September,2-4 hours,Seasonal,Fall,$,Low,"Leaf peepers, scenic drivers, photographers",Late September through mid-October. The overlooks on 56 are the spots. Bring a thermos.,Photo series,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
136,Fall Bonfire + Music,Seasonal,Autumn Bonfire,Marks seasonal slowing.,Rural yard,"Private property, Potsdam area, NY 13676",,Potsdam Area,0,Cool evenings,3-4 hours,Seasonal,Year-round,$,Low,"Friend groups, autumn celebrators","Someone brings a guitar, everyone brings something to drink. The smoke smell lingers for days.",Fire + group photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
137,Wing Night Ritual,Social,Wing Night,Regular shared meals build belonging.,Madrid Hotel,"1896 NY-345, Madrid, NY 13660",,Potsdam Area,0,Weekly wing night,5:00pm - 10:00pm,Recurring,Year-round,$,Low,"Regular wing fans, friend groups",Pick your spot and make it yours. The regulars know your order. This is how you become a local.,Receipt photo,Easy,50,Connector,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
138,Parallel Work Café Session,Social,Coworking,Presence without pressure.,Potsdam café,"Village of Potsdam, NY 13676",,Potsdam Area,0,Afternoons,2-4 hours,Seasonal,Year-round,$,Low,"Remote workers, freelancers, study buddies","The unspoken rules: headphones in, minimal chatting. Buying something is expected.",Location check-in,Easy,50,Connector,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
139,Pickup Yard Games,Social,Yard Games,Play without performance.,Ives Park,"Maple St, Potsdam, NY 13676",,Potsdam,0,Warm evenings,2-3 hours,Seasonal,Year-round,$,Low,"Casual athletes, backyard hangout types",Cornhole and spikeball are the staples. BYOB. Someone always has extra equipment.,Game photo,Easy,50,Connector,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
140,Late-Night Diner Debrief,Social,Late Night Hangout,Unstructured conversation deepens bonds.,Sergi's Italian,"25 Market St, Potsdam, NY 13676",,Potsdam,0,Late nights,11:00pm - 2:00am,Seasonal,Year-round,$,Low,"Night owls, post-event debriefiers",This is where the real conversations happen. Tip well—they're dealing with us.,Receipt photo,Easy,50,Connector,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
141,Solo Sunrise Walk,Solo,Dawn Walk,Builds internal rhythm.,Potsdam streets,"Village of Potsdam, NY 13676",,Potsdam Area,0,Any morning,5:30am - 7:00am,Seasonal,Year-round,$,Low,"Early risers, contemplative souls",The world before everyone wakes. No headphones. The birds are the soundtrack.,Sunrise photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
142,Creative Output Challenge,Solo,Creative Practice,Moves ideas into reality.,Home/Dorm,"Potsdam, NY 13676",,Potsdam,0,Weekly,1-2 hours,Recurring,Year-round,$,Low,"Creatives, makers, artists",Quantity over quality at first. Share nothing until day 30. The habit is the goal.,Upload artifact,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
143,Seasonal Reflection Write,Solo,Journaling,Turns experience into meaning.,Quiet indoor space,"Personal space, Potsdam, NY 13676",,Potsdam Area,0,End of season,30-60 minutes,Seasonal,Year-round,$,Low,"Journalers, reflective types","Four times a year, same questions. What worked? What didn't? What's next?",Timestamped note,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
144,The Hoot Owl,Nightlife,Live Music Bar,Local hangout spot,Hoot Owl,"Canton, Canton, NY 13617",,Canton,10,Daily,5:00pm - 12:00am,Ongoing,Year-round,$$,Low,"Live music lovers, casual drinkers","Live music weekends, mellow vibe most nights. Good for conversation. The craft beer selection is solid.",Yelp,Easy,50,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
145,Barking Dog Saloon,Nightlife,Country Bar,"Dive bar, cheap drinks",Barking Dog,"Area, Massena, NY 13662",,Massena,25,Daily,5:00pm - 12:00am,Ongoing,Year-round,$$,Low,"Country crowd, locals","Local country bar, pool tables in back. Cash preferred. The wings are surprisingly good.",Yelp,Easy,50,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
146,1844 House,Food & Drink,Fine Dining,"Farm-to-table, historic building. Special occasion spot.",1844 House,"6885 US-11, Potsdam, NY 13676",,Potsdam,3,Varies,5:00pm - 9:00pm,Ongoing,Year-round,$$$,Low,"Fine dining seekers, special occasion diners",Reservation recommended for dinner. The prix fixe is a good value. Dress is smart casual.,Visit STLC,Easy,50,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
147,Thai Cuisine,Food & Drink,Thai,Ethnic food option in small town,Thai Cuisine,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,11:00am - 9:00pm,Ongoing,Year-round,$$,Low,"Thai food enthusiasts, spice lovers",Authentic heat levels. The pad thai is consistent. Lunch specials are a deal.,Menu Guide,Easy,50,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
148,Foster the Plant Cafe,Food & Drink,Vegan Cafe,"Plant-based dishes, tofu scramble, avocado toast",Foster the Plant,"Market St, Potsdam, NY 13676",,Potsdam,0,Daily,7:00am - 6:00pm,Ongoing,Year-round,$$,Low,"Vegans, vegetarians, health-conscious",Vegan options that carnivores love. Smoothie bowls are Instagram-worthy. Limited seating.,Visit STLC,Easy,50,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
149,The Bagelry Morning,Ritual,Breakfast Spot,Replacing the morning scroll with local faces and carbs.,"Market St, Potsdam","11 Market St, Potsdam, NY 13676",,Potsdam Area,0,Saturday Mornings,7:00am - 11:00am,Seasonal,Year-round,$,Low,"Early risers, breakfast lovers",Local favorite. Cream cheese selection is impressive. The line moves fast.,,Medium,50,Ritualist,Medium,FALSE,FALSE,3,More_Events,HIGH
150,Potsdam Farmers Market,Ritual,Market Day,Intentionality in what you consume and who you support.,Ives Park,"Main St & Maple St, Potsdam, NY 13676",,Potsdam Area,0,Saturdays (May-Oct),9:00am - 1:00pm,Seasonal,Spring,$,Low,"Foodies, families, community lovers",Get there at 9 for best selection. Bring cash and bags. The egg lady is worth finding.,,Medium,50,Ritualist,Medium,FALSE,FALSE,3,More_Events,HIGH
151,Maple Sap Run,Seasonal,Maple Season,Witnessing the literal awakening of the earth.,Merle Maple Farm,"1884 NY-3, Atkinson, NY 13676",,Potsdam,10,March/April,9:00am - 4:00pm,Seasonal,Spring,$,Low,"Maple enthusiasts, local tradition keepers",The sugar shacks welcome visitors. Taste the different grades. Stock up—it's cheaper at source.,,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
152,Massena Drive-In,Summer Activities,Drive-In Movie,Engaging with a dying piece of American nostalgia.,Massena Drive-In,"71 Maple Ave, Massena, NY 13662",,Potsdam Area,0,Summer weekends,Dusk - 11:00pm,Seasonal,Summer,$,Low,"Couples, families, nostalgia lovers",Get there early for good spots. The radio for audio. Bring pillows for the truck bed.,,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
153,Ives Park Picnic,Social,Group Picnic,Replacing a restaurant bill with a shared meal.,Ives Park Gazebo,"Main St & Maple St, Potsdam, NY 13676",,Potsdam Area,0,Warm evenings,2-3 hours,Seasonal,Year-round,$,Low,"Friend groups, families, outdoor eaters",The pavilion is first-come. Grills are available. The playground keeps kids busy.,,Medium,50,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
154,Board Game Session,Social,Board Games,Structured interaction that lowers social anxiety.,Potsdam Public Library,"2 Park St, Potsdam, NY 13676",,Potsdam,0,Rainy days,2-4 hours,Seasonal,Year-round,$,Low,"Casual gamers, social groups",Drop-in friendly. The café has games to borrow. Buy a coffee to be polite.,,Medium,50,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
155,Brewery Social,Social,Craft Brewery,Gathering at a community hub for local food/vibes.,Raquette River Brew,"Ives Park Boat Launch, Main St, Potsdam, NY 13676",,Potsdam Area,0,Friday evenings,2-3 hours,Seasonal,Year-round,$,Low,"Craft beer lovers, social drinkers",Rotating taps keep it interesting. The flights let you sample. Food trucks on weekends.,,Medium,50,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
156,Guest Lecture,Social,Campus Talk,Expanding your worldview through live intellectualism.,Campus halls,"Clarkson University, Potsdam, NY 13699",,Potsdam Area,0,Check university cal,1-1.5 hours,Seasonal,Year-round,$,Low,"Intellectually curious, students, lifelong learners",Arrive early for good seats. Q&A is often the best part. Free and open to public.,,Medium,50,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
157,Bayside History Walk,Solo,Historic Walk,Connecting with the town's lineage and mortality.,Bayside Cemetery,"Bayside Cemetery, Cemetery Rd, Potsdam, NY 13676",,Potsdam Area,0,Any afternoon,1-2 hours,Seasonal,Year-round,$,Low,"History buffs, cemetery wanderers",The cemetery tells stories. The old headstones are art. Respectful quiet is expected.,,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
158,Library Deep Dive,Solo,Reading Session,Reclaiming the brain's capacity for deep work.,Potsdam Library,"2 Park St, Potsdam, NY 13676",,Potsdam Area,0,Rainy Tuesdays,2-4 hours,Seasonal,Year-round,$,Low,"Readers, knowledge seekers",The periodicals section is underrated. The wifi is solid. The chairs by the window are prime.,,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
159,Higley Star Gazing,Solo,Stargazing,Confronting the vastness of the universe.,Higley Flow Park,"442 Cold Brook Dr, Colton, NY 13625",,Potsdam Area,0,Clear nights,9:00pm - 12:00am,Seasonal,Year-round,$,Low,"Stargazers, astronomy enthusiasts","No moon nights are best. Bring a blanket, not just a chair. The Milky Way is visible here.",,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
160,Massena Intake,Solo,Industrial Tour,Exploring the industrial scale of the region.,"Massena, NY","71 Maple Ave, Massena, NY 13662",,Potsdam Area,0,Any day,1-2 hours,Seasonal,Year-round,$,Low,"Engineering curious, industrial tourists","Engineering marvel, free to view. The viewing platform is accessible. Best in fall when water is low.",,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
161,Route 56 Drive,Solo,Scenic Drive,"A meditative transit through the ""Blue Line.""",Route 56 South,"NY-56 South, Potsdam to Star Lake, NY, Potsdam, NY 13676",,Potsdam Area,0,Peak Fall,1-2 hours,Seasonal,Fall,$,Low,"Scenic drivers, solo explorers",The stretch through the hills is the scenic part. Pull-offs for photos. Fall foliage peak is mid-October.,,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
162,Sif’s Analog Hour,Solo,Personal Practice,Protecting your attention from the digital world.,Sif's Coffee,"59 Market St, Potsdam, NY 13676",,Potsdam Area,0,Weekdays,1 hour (your choice),Seasonal,Year-round,$,Low,"Independent types, self-explorers",Leave the phone in the car. Just read.,,Medium,50,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
163,Sergi’s Late Night,Social,Group Hangout,A high-carb community ritual after local events.,"Market St, Potsdam","3 Elm St, Potsdam, NY 13676",,Potsdam Area,0,Late nights,10:00pm - 1:00am,Seasonal,Year-round,$,Low,"Social butterflies, friend groups",It's a shared experience of local comfort.,,Medium,50,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
164,Local Gallery Opening,Social,Art Opening,Engaging with the creative output of neighbors.,SLC Arts Gallery,"6 E Main St, Canton, NY 13617",,Potsdam Area,0,Opening nights,1-2 hours,Seasonal,Year-round,$,Low,"Art lovers, culture seekers, social minglers",Free wine and snacks. Artists are usually present. No pressure to buy.,,Medium,50,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
165,Sunset at the Dam,Ritual,Sunset Ritual,Marking the end of a day with visual stillness.,Fall Island,"Fall Island Dr, Potsdam, NY 13676",,Potsdam Area,0,Daily at dusk,Sunset (varies),Seasonal,Year-round,$,Low,"Sunset watchers, peaceful seekers",The timing changes—check sunset time. Bring a blanket. Silence is okay.,,Medium,50,Ritualist,Medium,FALSE,FALSE,3,More_Events,HIGH
166,Finals Week Coffee Crawl,Social,Study Crawl,Survive exam stress together by discovering every caffeine source in town.,Downtown Potsdam,"Jernabi, Origin Coffee, Park Bros - Downtown Potsdam, NY 13676",,Potsdam,0,Finals Week,All day,Seasonal,Year-round,$$,Low,"Students, study groups, caffeine addicts",Rate each shop. The caffeine adds up—pace yourself. This is how you survive.,Photo at each location,Easy,75,Connector,High,FALSE,FALSE,4,Added,HIGH
167,Dorm to Dorm Challenge,Social,Campus Exploration,Learn where everyone actually lives. Find the best common rooms.,Clarkson/SUNY Potsdam Campus,"Campus, Potsdam, NY 13676",,Potsdam,0,Early semester,2-3 hours,One-time,Year-round,Free,Low,"Freshmen, new students, social explorers","Make a list, hit every common room. You'll meet more people in one night than all semester.",Geofence at each dorm,Automated,100,"Explorer, Connector",High,FALSE,FALSE,5,Added,HIGH
168,First Snowfall Walk,Seasonal,Seasonal Moment,"When the first real snow hits, drop everything. Walk in it.",Clarkson University Campus,"8 Clarkson Ave, Potsdam, NY 13699",,Potsdam,0,First snowfall (Nov-Dec),When snow begins,Seasonal,Winter,Free,Low,"Winter lovers, newcomers to snow country",Drop everything when it starts. The hush is otherworldly. Catch snowflakes like a kid.,Snow photo with timestamp,Easy,75,Explorer,Medium,FALSE,FALSE,5,Added,HIGH
169,Town Line Road Trip,Anchor,County Exploration,"Visit every town in St. Lawrence County. Yes, all of them.",St. Lawrence County back roads,"St. Lawrence County, NY (countywide), Potsdam, NY 13676",,Countywide,40,Any weekend,Full day (8+ hours),One-time,Year-round,$$,High,"Explorers, completionists, road trippers",Every town line on the county map. Document at each sign. You'll learn the geography.,Town sign photos,Medium,300,"Pathfinder, Explorer",High,TRUE,FALSE,5,Added,HIGH
170,Border Run to Canada,Anchor,International Trip,Cross an international border. Get poutine. Feel far from home.,Ogdensburg-Prescott International Bridge,"Bridge St, Ogdensburg, NY 13669",,Ogdensburg,30,Weekend,Day trip (6-8 hours),One-time,Year-round,$$,Medium,"Adventure seekers, road trippers",Passport required. The Tim Hortons in Brockville hits different. The drive itself is the point.,Photo at border,Easy,200,Pathfinder,High,TRUE,FALSE,5,Added,HIGH
171,Northern Lights Watch,Anchor,Natural Phenomenon,Wait for the Aurora forecast. Drive away from light pollution. Watch.,Higley Flow State Park,"442 Cold Brook Dr, Colton, NY 13625",,Outside Potsdam,15,Aurora alerts (Oct-Mar),10:00pm - 2:00am,Seasonal,Winter,Free,Medium,"Night owls, romantics, nature lovers",Check the aurora forecast apps. Get far from town lights. Patience is rewarded spectacularly.,Aurora photo,Medium,250,"Pathfinder, Challenger",High,TRUE,FALSE,5,Added,HIGH
172,Thrift Store Tour,Social,Thrift Shopping,Find treasures. Build a weird wardrobe. Support local causes.,Canton ? Massena ? Ogdensburg loop,"Various, Canton, NY 13617",,Potsdam/Canton,20,Weekend,2-4 hours,Ongoing,Year-round,$,Low,"Budget shoppers, vintage hunters, bargain lovers","Canton, Massena, Ogdensburg loop. Cash is king. The finds are unpredictable.",Receipt or purchase photo,Easy,50,Participant,High,FALSE,FALSE,3,Added,MEDIUM
173,Lake Effect Storm Experience,Anchor,Weather Experience,"When the lake effect warnings hit, go outside. Feel small.",Potsdam (anywhere safe),"Village of Potsdam, NY 13676",,Potsdam,0,Lake effect warnings,Storm duration,Seasonal,Winter,Free,Medium,"Weather enthusiasts, the adventurous","Stay off the roads, watch from safety. The snow is violent and beautiful. This is North Country.",Storm selfie,Easy,150,Challenger,Medium,TRUE,FALSE,5,Added,FLAG
174,Boldt Castle Day Trip,Anchor,Historic Landmark,"A castle built for love, abandoned, now restored. The views are unreal.","Heart Island, 1000 Islands","Heart Island, Alexandria Bay, NY 13607",,Alexandria Bay,60,May-October,10:00am - 5:00pm,Seasonal,Summer,$$,Medium,"History buffs, romantics, day trippers",Buy ferry tickets in advance. Bring lunch—island food is pricey. The love story is tragic and romantic.,Castle photo,Easy,200,"Explorer, Culture Vulture",High,TRUE,FALSE,5,Added,HIGH
175,Midnight Waffle House Run,Ritual,Late Night Road Trip,"When nothing else is open, there's always scattered, smothered, covered.","Waffle House, Watertown","21847 NY-3, Watertown, NY 13601",,Watertown,75,Any night,12:00am - 3:00am,Ongoing,Year-round,$,Medium,"Night owls, spontaneous friend groups",The closest one is over an hour. That's the point. The company matters more than the food.,Receipt + timestamp,Easy,100,"Ritualist, Connector",High,FALSE,FALSE,4,Added,HIGH
176,Paul Smiths–Gabriels VFD Pancake Breakfast,Events,Community Breakfast,A long-running fire department breakfast that feels like a town reunion.,"Paul Smiths, NY","68 State Route 86, Gabriels, NY 12939",,Gabriels,55,Mother’s Day weekend (annual),Varies,Annual,Year-round,$,Low,"Locals, community members",Arrive early; bring cash; linger and talk to locals.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
177,Pierrepont Fire Dept. Chicken BBQ,Events,Community Fundraiser,Classic small-town fundraiser that anchors summer for locals.,"Pierrepont, NY","62 Old County Rd, Canton, NY 13617",,Pierrepont,10,Father’s Day (annual),Varies,Annual,Year-round,$,Low,"Locals, community members",Get there by noon—sells out fast.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
178,Morristown FD Auxiliary Craft Fair,Events,Craft Fair,Signals the start of the local holiday season.,"Morristown, NY","200 Morris St, Morristown, NY 13664",,Morristown,35,Mid-November (annual),Varies,Annual,Year-round,$,Low,"Locals, community members",Cash preferred; homemade baked goods go first.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
179,Allen Falls Swimming Hole,Outdoor,Swimming Hole,A hidden waterfall and deep swimming pool locals grow up with.,"Parishville / Colton, NY","Allen Falls Rd, Parishville, NY 13672",,Parishville,15,Anytime; best in summer,Varies,Annual,Summer,$,Low,"Locals, community members",Wear water shoes; continue past upper falls.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
180,North Schroon River Rock Pools,Events,Local Tradition,Natural rock slides and pools locals treat like a secret water park.,"Schroon Lake, NY","US-9, Schroon Lake, NY 12870",,Schroon Lake,100,Summer,Varies,Annual,Summer,$,Low,"Locals, community members",Bring tubes; best morning or evening.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
181,Schroon Lake Golf Course Sled Hill,Events,Local Tradition,Unmarked sledding hill every local kid knows.,"Schroon Lake, NY","41 Country Club Rd, Schroon Lake, NY 12870",,Schroon Lake,100,Winter snow days,Varies,Annual,Winter,$,Low,"Locals, community members",Park by clubhouse; bring your own sled.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
182,Newcomb Town Sledding Hill,Events,Local Tradition,Low-key winter play spot with zero crowds.,"Newcomb, NY","5544 NY-28N, Newcomb, NY 12852",,Newcomb,70,Winter,Varies,Annual,Winter,$,Low,"Locals, community members",Great for beginners and families.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
183,Lake Placid Biathlon Training Watch,Events,Local Tradition,Rare chance to watch Olympic athletes train up close.,"Lake Placid, NY","220 Bobsled Run Ln, Lake Placid, NY 12946",,Lake Placid,75,Summer & winter training days,Varies by session,Annual,Winter,$,Low,"Winter sports enthusiasts, Olympic fans, adventurous types",Book through Mt. Van Hoevenberg. The ski + shoot combo is harder than it looks. Rentals available but reserve ahead.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
184,Olympic Oval Public Skating,Winter Activities,Ice Skating,Skate on historic Olympic ice.,"Lake Placid, NY","2634 Main St, Lake Placid, NY 12946",,Lake Placid,75,Winter public skate times,Varies,Annual,Winter,$,Low,"Locals, community members",Reserve ahead; try outdoor sessions if open.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
185,Saranac Lake Winter Carnival,Events,Winter Festival,Beloved winter festival full of quirky traditions.,"Saranac Lake, NY","River St, Saranac Lake, NY 12983",,Saranac Lake,65,Early February,Varies,Annual,Winter,$,Low,"Locals, community members",Don’t miss torchlight parade.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
186,Adirondack Plein Air Festival,Events,Local Tradition,Watch artists create live across town.,"Saranac Lake, NY","Riverside Park, Saranac Lake, NY 12983",,Saranac Lake,65,Mid-August,Varies,Annual,Summer,$,Low,"Locals, community members",Attend Quick Draw events.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
187,Massena Meals on Wheels Spaghetti Dinner,Events,Community Dinner,Huge community dinner that brings everyone together.,"Massena, NY","71 E Hatfield St, Massena, NY 13662",,Massena,25,Fall (annual),Varies,Annual,Fall,$,Low,"Locals, community members",Order ahead; portions are large.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
188,Castle Rock Trail,Outdoor,Trail,Short hike with big views and fewer crowds.,"Blue Mountain Lake, NY","NY-28, Blue Mountain Lake, NY 12812",,Blue Mountain Lake,60,Summer–Fall,Varies,Annual,Summer,$,Low,"Locals, community members",Small lot—arrive early.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
189,Hopkins Mountain Hike,Outdoor,Hiking,Underrated half-day High Peaks hike.,"Keene, NY","Interbrook Rd, Keene Valley, NY 12943",,Keene,85,Spring–Fall,Varies,Annual,Fall,$,Low,"Locals, community members",Great early-morning hike.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
190,Shoebox Falls,Outdoor,Waterfall,Short walk to classic Adirondack swimming hole.,"St. Huberts, NY","NY-73, St. Huberts, NY 12943",,St. Huberts,85,Summer,Varies,Annual,Summer,$,Low,"Locals, community members",Bug spray recommended.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
191,Blueberry Hills Trails,Outdoor,Trail,Locals’ after-work hike with lean-to views.,"Elizabethtown, NY","Hurricane Rd, Elizabethtown, NY 12932",,Elizabethtown,90,Year-round,Varies,Annual,Year-round,$,Low,"Locals, community members",Pick berries in season.,Photo,Easy,100,Connector,Medium,FALSE,TRUE,4,Upstate_Local,HIGH
192,VFW Meat Raffle Night,Social,Community Gambling,Low-stakes gambling meets community bonding.,Potsdam VFW Post 6338,"2 Cedar St, Potsdam, NY 13676",,Potsdam,0,Weekly (Fri/Sat),Varies,Recurring,Year-round,$,Low,"Community seekers, locals",Bring cash and patience.,Photo,Easy,75,Connector,High,FALSE,TRUE,4,HyperLocal_Recurring,HIGH
193,Ice Fishing Derby,Ritual,Community Gathering,Competition gives winter purpose.,Black Lake,"Black Lake, NY",,Hammond,35,Winter (Annual),Varies,Recurring,Winter,$,Low,"Community seekers, locals",Register early for best spots.,Photo,Easy,75,Connector,High,FALSE,TRUE,4,HyperLocal_Recurring,MEDIUM
194,The Toboggan Chute,Anchor,Winter Thrill,Launch yourself onto a frozen lake at 40mph on a wooden sled.,"Mirror Lake, Lake Placid","31 Parkside Dr, Lake Placid, NY 12946",,Lake Placid,75,Feb-March (weather dependent),Weekends/Holidays,Seasonal,Winter,$,Medium,"Thrill seekers, families, groups","Lines get long—go right at opening or during dinner hours. If the light is on, it's open. Wear durable pants.",Photo on ice,Easy,250,Challenger,High,TRUE,FALSE,5,New_Additions,HIGH
195,Donnelly’s Ice Cream,Ritual,Summer Tradition,"You don't pick the flavor, the day of the week does.","Saranac Lake, NY","1556 NY-86, Saranac Lake, NY 12983",,Saranac Lake,65,Memorial Day to Labor Day,11am - 9pm,Seasonal,Summer,$,Low,"Ice cream lovers, traditionalists",Twisted soft serve only. The flavor schedule hasn't changed in decades. Cash only. The view of Whiteface is half the treat.,Photo with cone,Easy,100,Ritualist,Medium,FALSE,FALSE,5,New_Additions,HIGH
196,Olympic Speed Skating Oval,Anchor,Ice Skating,Skate on the same ice where Eric Heiden won five golds.,"Lake Placid, NY","2634 Main St, Lake Placid, NY 12946",,Lake Placid,75,Winter evenings,7:00pm - 9:00pm,Seasonal,Winter,$,Medium,"Skaters, Olympic history buffs","Public skate sessions are magical under the lights. Rentals available, but bring your own if you have them for better glide.",Oval selfie,Easy,200,Challenger,Medium,TRUE,FALSE,5,New_Additions,HIGH
197,Norwood Village Green Concerts,Ritual,Community Concert,Small town Americana at its purest. Pass the bucket.,Norwood Village Green,"Park Ave, Norwood, NY 13668",,Norwood,6,Thurs/Sun (Summer),7:00pm,Seasonal,Summer,Donation,Low,"Music lovers, community members, families","Bring a lawn chair. Admission is free, but when they pass the bucket, put money in—that's how this has survived 50+ years.",Event photo,Easy,100,Connector,Medium,FALSE,FALSE,5,New_Additions,HIGH
198,Waddington Concert Series,Ritual,Community Concert,Live music with the St. Lawrence River as the backdrop.,"Island View Park, Waddington","Main St, Waddington, NY 13694",,Waddington,20,Friday evenings (Summer),6:30pm - 9:30pm,Seasonal,Summer,Free,Low,"Music fans, sunset watchers",The venue is spectacular. Sit on the grass tiers. Go to the pavilion if it rains. The sunset behind the stage is the real headliner.,Sunset stage photo,Easy,150,Connector,High,FALSE,FALSE,5,New_Additions,HIGH
199,Tooley Pond Road Waterfall Tour,Anchor,Waterfall Circuit,Six distinct waterfalls on one dirt road. The Waterfall Road.,Grasse River South Branch,"Tooley Pond Rd, DeGrasse, NY 13625",,DeGrasse,25,Spring/Summer/Fall,Half-day,Seasonal,Summer,Free,Medium,"Waterfall chasers, photographers","Basford, Sinclair, Twin, and Rainbow Falls are the big ones. Stop at all of them. The swimming hole at Sinclair is cold and perfect.",Photo set of 3+ falls,Medium,350,Explorer,Medium,TRUE,FALSE,5,New_Additions,HIGH
